06/05/2026 22:26:06 [WRN] Failed to determine the https port for redirect.
06/05/2026 22:26:06 [INF] HTTP GET / responded 404 in 613.3168 ms
06/05/2026 22:26:06 [INF] HTTP GET /favicon.ico responded 404 in 11.3733 ms
06/05/2026 22:28:21 [WRN] Failed to determine the https port for redirect.
06/05/2026 22:28:21 [INF] HTTP GET / responded 404 in 148.4609 ms
06/05/2026 22:28:25 [INF] HTTP GET /swagger/index.html responded 200 in 122.6412 ms
06/05/2026 22:28:25 [INF] HTTP GET /swagger/swagger-ui.css responded 200 in 33.4674 ms
06/05/2026 22:28:25 [INF] HTTP GET /swagger/swagger-ui-standalone-preset.js responded 200 in 33.5547 ms
06/05/2026 22:28:26 [INF] HTTP GET /swagger/swagger-ui-bundle.js responded 200 in 66.0959 ms
06/05/2026 22:28:26 [INF] HTTP GET /swagger/v1/swagger.json responded 200 in 114.8874 ms
06/05/2026 22:35:02 [INF] HTTP GET /swagger/index.html responded 200 in 109.8893 ms
06/05/2026 22:35:02 [INF] HTTP GET /swagger/swagger-ui-standalone-preset.js responded 200 in 31.9310 ms
06/05/2026 22:35:02 [INF] HTTP GET /swagger/swagger-ui.css responded 200 in 31.9472 ms
06/05/2026 22:35:02 [INF] HTTP GET /swagger/swagger-ui-bundle.js responded 200 in 48.9501 ms
06/05/2026 22:35:03 [INF] HTTP GET /swagger/favicon-32x32.png responded 200 in 0.4320 ms
06/05/2026 22:35:03 [INF] HTTP GET /swagger/v1/swagger.json responded 200 in 149.4177 ms
06/05/2026 22:36:05 [INF] HTTP GET /swagger/index.html responded 200 in 2.2923 ms
06/05/2026 22:36:06 [INF] HTTP GET /swagger/v1/swagger.json responded 200 in 13.7546 ms
06/05/2026 22:47:25 [INF] HTTP GET /swagger/index.html responded 200 in 0.8372 ms
06/05/2026 22:47:26 [INF] HTTP GET /swagger/v1/swagger.json responded 200 in 13.8058 ms
06/05/2026 22:47:52 [INF] HTTP GET /swagger/index.html responded 200 in 0.6255 ms
06/05/2026 22:47:52 [INF] HTTP GET /swagger/v1/swagger.json responded 200 in 5.9747 ms
06/05/2026 22:48:46 [INF] HTTP GET /swagger/index.html responded 200 in 0.7092 ms
06/05/2026 22:48:47 [INF] HTTP GET /swagger/v1/swagger.json responded 200 in 7.4854 ms
06/05/2026 22:49:01 [INF] HTTP GET /swagger/index.html responded 200 in 0.5419 ms
06/05/2026 22:49:02 [INF] HTTP GET /swagger/v1/swagger.json responded 200 in 6.5252 ms
06/05/2026 22:56:42 [INF] HTTP GET /swagger/index.html responded 200 in 0.5348 ms
06/05/2026 22:56:42 [INF] HTTP GET /swagger/v1/swagger.json responded 200 in 3.7999 ms
06/05/2026 22:56:55 [INF] HTTP GET /swagger/index.html responded 200 in 1.3033 ms
06/05/2026 22:56:55 [INF] HTTP GET /swagger/v1/swagger.json responded 200 in 5.6348 ms
06/05/2026 23:01:51 [INF] HTTP GET /swagger/index.html responded 200 in 0.5756 ms
06/05/2026 23:01:51 [INF] HTTP GET /swagger/v1/swagger.json responded 200 in 3.3427 ms
06/05/2026 23:05:10 [INF] HTTP GET /swagger/index.html responded 200 in 1.1300 ms
06/05/2026 23:05:10 [INF] HTTP GET /swagger/v1/swagger.json responded 200 in 3.1329 ms
06/05/2026 23:05:23 [INF] HTTP GET /swagger/index.html responded 200 in 0.8946 ms
06/05/2026 23:05:23 [INF] HTTP GET /swagger/v1/swagger.json responded 200 in 8.1596 ms
